participant_id,expert_group,age,experience,image,study,dr_score,dmo_score,dr_grade,dmo_grade,time_sec,zoom_1.0,zoom_1.5,zoom_2.25,zoom_3.375,zoom_5.0625,zoom_7.59375,zoom_11.390625,zoom_17.0859375
1935,Optometrist,33,7,007-4290-200_1140x848,thinkaloud,0,2,2,1,65.78857999999991,1016,681,1088,844,974,143,0,0
1935,Optometrist,33,7,007-4991-300_1140x848,thinkaloud,-1,3,2,2,83.72608000000037,820,338,3700,937,203,40,0,0
1935,Optometrist,33,7,007-6520-400_1140x848,thinkaloud,-1,2,3,1,72.33154000000013,889,840,2402,1087,0,0,0,0
1935,Optometrist,33,7,007-7017-400_1140x848,thinkaloud,0,4,4,3,64.17504999999983,710,1121,1431,491,876,0,0,0
1935,Optometrist,33,7,007-7175-400_1140x848,thinkaloud,0,2,4,1,42.15404999999964,707,1235,358,741,0,0,0,0
1935,Optometrist,33,7,007-7265-400_1140x848,thinkaloud,0,2,4,1,48.11450999999988,1177,1604,168,425,97,0,0,0
1935,Optometrist,33,7,20170228231807286_1140x848,thinkaloud,0,0,0,0,43.88646999999992,431,417,451,144,1408,316,0,0
1935,Optometrist,33,7,20170511224838938_1140x848,thinkaloud,0,2,2,1,77.09985000000006,138,587,2355,835,925,722,0,0
1935,Optometrist,33,7,20170512231007763_1140x848,thinkaloud,-1,1,2,0,69.65625,740,918,2093,55,1011,207,0,0
1935,Optometrist,33,7,20170525111826224_1140x848,thinkaloud,0,1,2,0,46.83935999999994,514,374,617,1126,650,99,0,0
1935,Optometrist,33,7,20170609154552424_1140x848,thinkaloud,0,1,1,0,59.17504999999983,448,401,3228,192,0,0,0,0
1935,Optometrist,33,7,20170622080837660_1140x848,thinkaloud,0,2,3,1,62.739010000000235,579,1011,739,567,1310,283,38,0
1935,Optometrist,33,7,007-0028-000_1140x848,tracking,1,0,1,0,24.563229999999976,458,1020,0,295,0,0,0,0
1935,Optometrist,33,7,007-0055-000_1140x848,tracking,0,0,0,0,40.29663000000005,476,1247,482,173,529,0,0,0
1935,Optometrist,33,7,007-0142-000_1140x848,tracking,0,0,0,0,46.146240000000034,567,1850,553,262,98,0,0,0
1935,Optometrist,33,7,007-0323-000_1140x848,tracking,0,0,0,0,21.6103599999999,252,605,13,12,649,11,16,0
1935,Optometrist,33,7,007-1774-100_1140x848,tracking,1,3,2,2,49.88904000000002,355,322,2295,626,0,0,0,0
1935,Optometrist,33,7,007-2252-100_1140x848,tracking,0,1,1,0,37.46849999999995,179,1234,149,318,699,0,0,0
1935,Optometrist,33,7,007-2469-100_1140x848,tracking,-1,1,0,0,16.426510000000007,1186,0,0,0,0,0,0,0
1935,Optometrist,33,7,007-2477-100_1140x848,tracking,1,1,2,0,36.42920000000004,472,1950,162,44,0,0,0,0
1935,Optometrist,33,7,007-2840-100_1140x848,tracking,0,1,1,0,36.60938000000033,100,824,718,344,655,0,0,0
1935,Optometrist,33,7,007-4250-200_1140x848,tracking,1,3,3,2,37.75963999999999,146,850,715,611,223,0,0,0
1935,Optometrist,33,7,007-4850-300_1140x848,tracking,0,1,3,0,49.51415999999995,1045,222,1554,417,334,0,0,0
1935,Optometrist,33,7,007-5457-300_1140x848,tracking,0,100,3,-1,55.37830000000008,182,770,1623,1075,294,0,0,0
1935,Optometrist,33,7,007-6320-400_1140x848,tracking,0,1,4,0,41.94531999999981,600,196,274,1629,0,0,0,0
1935,Optometrist,33,7,007-6573-400_1140x848,tracking,0,4,4,3,15.539059999999836,89,8,212,617,88,107,0,0
1935,Optometrist,33,7,007-7146-400_1140x848,tracking,0,100,4,-1,35.098379999999906,932,0,0,1601,0,0,0,0
1935,Optometrist,33,7,007-7235-400_1140x848,tracking,0,3,4,2,28.47241000000008,421,681,325,239,389,0,0,0
1935,Optometrist,33,7,20170502092649506_1140x848,tracking,-1,1,1,0,49.11279999999988,76,632,1519,774,414,129,0,0
1935,Optometrist,33,7,20170518171333730_1140x848,tracking,0,1,1,0,35.74987999999985,297,769,997,256,259,0,0,0
